Date,Opponent School,Win/Loss,Final Score,Total OFF Plays Run,Total Yards Gained,Passing Yards Gained,Rushing Yards Gained,First Downs Acquired,3rd Down Efficiency,4th Down Efficiency,Turnovers
08/25/2023,Ft Cherry,Loss,42-6,59,193,66,127,12,33.00%,60.00%,2
09/01/2023,Springdale,Win,35-21,47,352,79,273,19,75.00%,NaN,0
09/08/2023,Riverview,Win,38-21,46,416,63,353,18,50.00%,0.00%,0
09/15/2023,South Side,Loss,55-6,38,69,22,47,6,22.00%,0.00%,2
09/23/2023,Summit Academy,Win,28-20,47,304,84,220,15,56.00%,33.00%,4
09/29/2023,Shenango,Win,20-13,62,312,74,238,13,17.00%,50.00%,1
10/06/2023,Laurel,Loss,35-12,38,182,52,130,6,25.00%,0.00%,1
10/13/2023,Union,Loss,47-6,32,144,69,75,6,0.00%,0.00%,3
10/20/2023,Rochester,Loss,42-8,35,103,88,15,4,13.00%,25.00%,0
10/27/2023,Frazier,Win,32-6,52,357,52,305,15,43.00%,0.00%,1
